,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALABAMA,"TRIGGERFISH, GRAY","1,150",1,"4,204",Public,Commercial,Balistes capriscus,173138,GULFFIN
2022,ALABAMA,TRIPLETAIL,137,0,322,Public,Commercial,Lobotes surinamensis,169007,GULFFIN
2022,ALABAMA,TRIPLETAIL,"16,279",7,,Public,Recreational,,169007,MRIP
2022,ALABAMA,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,EXCEPTIONS
2022,ALABAMA,"TUNA, BLACKFIN","101,464",46,"173,788",Public,Commercial,Thunnus atlanticus,172427,GULFFIN
2022,ALABAMA,"TUNA, BLACKFIN","626,477",284,,Public,Recreational,,172427,MRIP
2022,ALABAMA,"TUNA, LITTLE TUNNY","27,764",13,"23,709",Public,Commercial,Euthynnus alletteratus,172402,GULFFIN
2022,ALABAMA,"TUNA, LITTLE TUNNY","106,774",48,,Public,Recreational,,172402,MRIP
2022,ALABAMA,"TUNA, YELLOWFIN",,,,Confidential,Commercial,Thunnus albacares,172423,EXCEPTIONS
2022,ALABAMA,"TUNA, YELLOWFIN",,,,Public,Recreational,,172423,MRIP
2022,ALABAMA,"VERTEBRATES, JAWED","285,926",130,"49,113",Public,Commercial,Gnathostomata ,914179,GULFFIN
2022,ALABAMA,WAHOO,,,,Confidential,Commercial,Acanthocybium solandri,172451,GULFFIN
2022,ALABAMA,WAHOO,"16,036",7,,Public,Recreational,,172451,MRIP
2022,ALABAMA,WENCHMAN,,,,Confidential,Commercial,Pristipomoides aquilonaris,168913,GULFFIN
2022,ALABAMA,,,,,Confidential,Commercial,,,GULFFIN
2022,ALASKA,"CLAM, PACIFIC GEODUCK","335,276",152,"3,259,316",Public,Commercial,Panopea abrupta,81779,AKFIN
2022,ALASKA,"COD, PACIFIC","402,864,560","182,738","183,052,045",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2022,ALASKA,"CRAB, DUNGENESS","7,914,608","3,590","19,688,572",Public,Commercial,Cancer magister,98675,AKFIN
2022,ALASKA,"CRAB, KING **","4,526,178","2,053","46,627,607",Public,Commercial,Paralithodes,97934,AKFIN
2022,ALASKA,"CRAB, SNOW","5,476,142","2,484","39,184,752",Public,Commercial,Chionoecetes opilio,98428,AKFIN
2022,ALASKA,"CRAB, SOUTHERN TANNER","4,803,887","2,179","34,691,680",Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2022,ALASKA,CRUSTACEANS **,"195,440",89,"1,813,317",Public,Commercial,Crustacea,83677,AKFIN
2022,ALASKA,"CUCUMBERS, SEA **","1,672,464",759,"5,664,044",Public,Commercial,Holothuroidea,158140,AKFIN
